@ NAME             %04s "CORR"
@ TYPE             %04s "CORR"
@ TITLE            %08s "no-title"
@ ORIGIN           %22s "MAD-X 5.02.00 Linux 64"
@ DATE             %08s "10/04/15"
@ TIME             %08s "10.48.50"
* NAME                           PX.OLD             PY.OLD      PX.CORRECTION      PY.CORRECTION 
$ %s                                %le                %le                %le                %le 
 "MCBH.34L6.B2"        -1.539182942e-05                  0   -1.192533993e-05                  0
 "MCBV.33R5.B2"                       0                  0                  0                  0
 "MCBH.32R5.B2"         2.874283586e-05                  0    2.874283586e-05                  0
 "MCBV.31R5.B2"                       0                  0                  0                  0
 "MCBH.30R5.B2"                       0                  0                  0                  0
 "MCBV.29R5.B2"                       0                  0                  0                  0
 "MCBH.28R5.B2"         1.016064733e-05                  0    1.016064733e-05                  0
 "MCBV.27R5.B2"                       0                  0                  0                  0
 "MCBH.26R5.B2"        -2.261106111e-05                  0   -2.856292669e-05                  0
 "MCBV.25R5.B2"                       0                  0                  0                  0
 "MCBH.24R5.B2"        -6.929722149e-06                  0   -6.929722149e-06                  0
 "MCBV.23R5.B2"                       0                  0                  0                  0
 "MCBH.22R5.B2"        -6.253993604e-06                  0   -9.695661487e-06                  0
 "MCBV.21R5.B2"                       0                  0                  0                  0
 "MCBH.20R5.B2"                       0                  0                  0                  0
 "MCBV.19R5.B2"                       0                  0                  0                  0
 "MCBH.18R5.B2"         2.222808264e-05                  0    2.222808264e-05                  0
 "MCBV.17R5.B2"                       0                  0                  0                  0
 "MCBH.16R5.B2"         8.745172992e-06                  0    8.745172992e-06                  0
 "MCBV.15R5.B2"                       0                  0                  0                  0
 "MCBH.14R5.B2"                       0                  0                  0                  0
 "MCBV.13R5.B2"                       0                  0                  0                  0
 "MCBH.12R5.B2"          -8.2198577e-06                  0     -8.2198577e-06                  0
 "MCBV.11R5.B2"                       0                  0                  0                  0
 "MCBCH.10R5.B2"                      0                  0                  0                  0
 "MCBCV.9R5.B2"                       0                  0                  0                  0
 "MCBCH.8R5.B2"                       0                  0                  0                  0
 "MCBCV.7R5.B2"                       0                  0                  0                  0
 "MCBCH.6R5.B2"                       0                  0                  0                  0
 "MCBCV.5R5.B2"                       0                  0                  0                  0
 "MCBYH.B4R5.B2"                      0                  0                  0                  0
 "MCBYV.4R5.B2"                       0                  0                  0                  0
 "MCBYH.A4R5.B2"                      0                  0                  0                  0
 "MCBXV.3R5"                          0                  0                  0                  0
 "MCBXH.3R5"                          0                  0                  0                  0
 "MCBXV.2R5"                          0                  0                  0                  0
